i=127,cost=8891,A=0.429649,B=-282.883193
i=128,cost=8864,A=0.429045,B=-280.674875
i=129,cost=8838,A=0.428444,B=-278.474572
i=130,cost=8811,A=0.427846,B=-276.282255
i=131,cost=8785,A=0.427249,B=-274.097895
i=132,cost=8759,A=0.426654,B=-271.921462
i=133,cost=8733,A=0.426062,B=-269.752929
i=134,cost=8708,A=0.425472,B=-267.592265
i=135,cost=8682,A=0.424883,B=-265.439444
i=136,cost=8657,A=0.424297,B=-263.294436
i=137,cost=8632,A=0.423714,B=-261.157214
i=138,cost=8607,A=0.423132,B=-259.027748
i=139,cost=8583,A=0.422552,B=-256.906010
i=140,cost=8558,A=0.421975,B=-254.791973
i=141,cost=8534,A=0.421399,B=-252.685609
i=142,cost=8510,A=0.420826,B=-250.586890
i=143,cost=8486,A=0.420255,B=-248.495787
i=144,cost=8462,A=0.419686,B=-246.412274
i=145,cost=8438,A=0.419118,B=-244.336323
i=146,cost=8415,A=0.418553,B=-242.267907
i=147,cost=8391,A=0.417990,B=-240.206997
i=148,cost=8368,A=0.417429,B=-238.153567
i=149,cost=8345,A=0.416871,B=-236.107590
i=150,cost=8323,A=0.416314,B=-234.069038
i=151,cost=8300,A=0.415759,B=-232.037886
i=152,cost=8278,A=0.415206,B=-230.014105
i=153,cost=8255,A=0.414655,B=-227.997669
i=154,cost=8233,A=0.414106,B=-225.988551
i=155,cost=8211,A=0.413559,B=-223.986725
i=156,cost=8189,A=0.413014,B=-221.992165
i=157,cost=8168,A=0.412472,B=-220.004844
i=158,cost=8146,A=0.411931,B=-218.024735
i=159,cost=8125,A=0.411392,B=-216.051813
i=160,cost=8104,A=0.410855,B=-214.086051
i=161,cost=8083,A=0.410320,B=-212.127424
i=162,cost=8062,A=0.409786,B=-210.175906
i=163,cost=8041,A=0.409255,B=-208.231470
i=164,cost=8020,A=0.408726,B=-206.294091
i=165,cost=8000,A=0.408199,B=-204.363744
i=166,cost=7980,A=0.407673,B=-202.440403
i=167,cost=7960,A=0.407150,B=-200.524042
i=168,cost=7940,A=0.406628,B=-198.614637
i=169,cost=7920,A=0.406108,B=-196.712162
i=170,cost=7900,A=0.405591,B=-194.816591
i=171,cost=7881,A=0.405075,B=-192.927900
i=172,cost=7861,A=0.404561,B=-191.046064
i=173,cost=7842,A=0.404048,B=-189.171057
i=174,cost=7823,A=0.403538,B=-187.302856
i=175,cost=7804,A=0.403029,B=-185.441435
i=176,cost=7785,A=0.402523,B=-183.586770
i=177,cost=7766,A=0.402018,B=-181.738837
i=178,cost=7748,A=0.401515,B=-179.897610
i=179,cost=7729,A=0.401014,B=-178.063065
i=180,cost=7711,A=0.400514,B=-176.235179
i=181,cost=7693,A=0.400017,B=-174.413927
i=182,cost=7675,A=0.399521,B=-172.599285
i=183,cost=7657,A=0.399027,B=-170.791229
i=184,cost=7639,A=0.398535,B=-168.989735
i=185,cost=7621,A=0.398045,B=-167.194780
i=186,cost=7604,A=0.397556,B=-165.406339
i=187,cost=7586,A=0.397069,B=-163.624388
i=188,cost=7569,A=0.396584,B=-161.848906
i=189,cost=7552,A=0.396101,B=-160.079867
i=190,cost=7535,A=0.395620,B=-158.317248
i=191,cost=7518,A=0.395140,B=-156.561027
i=192,cost=7501,A=0.394662,B=-154.811180
i=193,cost=7484,A=0.394185,B=-153.067684
i=194,cost=7468,A=0.393711,B=-151.330515
i=195,cost=7451,A=0.393238,B=-149.599652
i=196,cost=7435,A=0.392767,B=-147.875070
i=197,cost=7419,A=0.392298,B=-146.156747
i=198,cost=7403,A=0.391830,B=-144.444661
i=199,cost=7387,A=0.391364,B=-142.738789
i=200,cost=7371,A=0.390900,B=-141.039108
