carat,clarity,color,culet,cut,date,dateSet,depth,detailsPageUrl,fluorescence,hasVisualization,id,imageUrl,lxwRatio,measurements,polish,price,pricePerCarat,sellingIndex,shapeCode,shapeName,skus,symmetry,table,v360BaseUrl,visualizationImageUrl,willArriveForHoliday
['5.83'],['FL'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 17'],['Sep 18'],['60.3'],./diamond-details/LD11077400,['None'],[False],LD11077400,,['1.01'],"[{'label': '11.72 x 11.65 x 7.05 mm', 'labelSmall': '11.72 x 11.65 x 7.05'}]",['Excellent'],604257,"['$103,646']",0.0017923223,['RD'],['Round'],['LD11077400'],['Excellent'],['58.0'],,,False
['10.63'],['IF'],['F'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['Sep 17'],['Sep 18'],['61.1'],./diamond-details/LD12195956,['Faint'],[False],LD12195956,,['1.00'],"[{'label': '14.13 x 14.17 x 8.65 mm', 'labelSmall': '14.13 x 14.17 x 8.65'}]",['Excellent'],610011,"['$57,386']",0.0038902948,['RD'],['Round'],['LD12195956'],['Excellent'],['59.0'],,,False
['10.73'],['VVS2'],['E'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['Sep 17'],['Sep 18'],['60.5'],./diamond-details/LD12134976,['Faint'],[False],LD12134976,,['1.00'],"[{'label': '14.32 x 14.36 x 8.67 mm', 'labelSmall': '14.32 x 14.36 x 8.67'}]",['Excellent'],614264,"['$57,247']",0.0049608704,['RD'],['Round'],['LD12134976'],['Excellent'],['59.0'],,,False
['20.27'],['SI2'],['H'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 12'],['Sep 13'],['62.0'],./diamond-details/LD00088204,['Strong'],[False],LD00088204,,['1.00'],"[{'label': '17.44 x 17.52 x 10.83 mm', 'labelSmall': '17.44 x 17.52 x 10.83'}]",['Excellent'],620160,"['$30,595']",0.0003109981,['RD'],['Round'],['LD00088204'],['Excellent'],['59.0'],,,False
['8.26'],['FL'],['E'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 17'],['Sep 18'],['61.4'],./diamond-details/LD12083392,['None'],[True],LD12083392,,['1.01'],"[{'label': '13.02 x 12.95 x 7.97 mm', 'labelSmall': '13.02 x 12.95 x 7.97'}]",['Excellent'],642811,"['$77,822']",0.00047876843,['RD'],['Round'],['LD12083392'],['Excellent'],['57.0'],https://bluenile.v360.in/19/imaged/gia-5191629725/2/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5191629725/still_230x230.jpg?v=2,False
['9.65'],['VS1'],['F'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 12'],['Sep 13'],['62.6'],./diamond-details/LD12736463,['Faint'],[False],LD12736463,,['1.01'],"[{'label': '13.63 x 13.52 x 8.49 mm', 'labelSmall': '13.63 x 13.52 x 8.49'}]",['Excellent'],656789,"['$68,061']",0.004124519,['RD'],['Round'],['LD12736463'],['Excellent'],['58.0'],,,False
['10.33'],['VVS2'],['G'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 17'],['Sep 18'],['62.3'],./diamond-details/LD10878294,['None'],[True],LD10878294,,['1.00'],"[{'label': '13.89 x 13.95 x 8.67 mm', 'labelSmall': '13.89 x 13.95 x 8.67'}]",['Excellent'],670918,"['$64,948']",0.01829946,['RD'],['Round'],['LD10878294'],['Excellent'],['58.0'],https://bluenile.v360.in/62/imaged/gia-1192390344/1/,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1192390344/still_230x230.jpg,False
['10.08'],['VS2'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 17'],['Sep 18'],['62.5'],./diamond-details/LD12115252,['None'],[False],LD12115252,,['1.01'],"[{'label': '13.72 x 13.79 x 8.60 mm', 'labelSmall': '13.72 x 13.79 x 8.60'}]",['Excellent'],691711,"['$68,622']",0.0026964904,['RD'],['Round'],['LD12115252'],['Excellent'],['57.0'],,,False
['13.17'],['VS2'],['H'],['Very Small'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['Sep 12'],['Sep 13'],['57.9'],./diamond-details/LD09560127,['None'],[False],LD09560127,,['1.00'],"[{'label': '15.59 x 15.66 x 9.05 mm', 'labelSmall': '15.59 x 15.66 x 9.05'}]",['Excellent'],695734,"['$52,827']",0.0009771446,['RD'],['Round'],['LD09560127'],['Excellent'],['60.0'],,,False
['7.38'],['FL'],['D'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['Sep 17'],['Sep 18'],['61.9'],./diamond-details/LD11992599,['None'],[False],LD11992599,,['1.01'],"[{'label': '12.40 x 12.47 x 7.70 mm', 'labelSmall': '12.40 x 12.47 x 7.70'}]",['Excellent'],700287,"['$94,890']",0.001207552,['RD'],['Round'],['LD11992599'],['Excellent'],['58.0'],,,False
