detailsPageUrl,carat,date,dateSet,price,pricePerCarat,skus,id,shapeCode,shapeName,clarity,color,culet,cut,depth,fluorescence,lxwRatio,polish,symmetry,table,hasVisualization,visualizationImageUrl,v360BaseUrl,measurements,willArriveForHoliday,imageUrl,sellingIndex
./diamond-details/LD12455085,['0.23'],['Sep 27'],['Sep 30'],307,"['$1,335']",['LD12455085'],LD12455085,['RD'],['Round'],['SI1'],['F'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['61.7'],['None'],['1.01'],['Excellent'],['Excellent'],['56.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6321913063/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6321913063/1/,"[{'label': '3.91 x 3.95 x 2.43 mm', 'labelSmall': '3.91 x 3.95 x 2.43'}]",False,,0.83975565
./diamond-details/LD12734396,['0.30'],['Sep 30'],['Oct 1'],307,"['$1,023']",['LD12734396'],LD12734396,['RD'],['Round'],['SI1'],['K'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['62.6'],['Faint'],['1.01'],['Excellent'],['Very Good'],['56.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7326855370/still_230x230.jpg,https://bluenile.v360.in/3/imaged/gia-7326855370/1/,"[{'label': '4.19 x 4.22 x 2.63 mm', 'labelSmall': '4.19 x 4.22 x 2.63'}]",False,,0.6884768
./diamond-details/LD12734398,['0.30'],['Sep 30'],['Oct 1'],307,"['$1,023']",['LD12734398'],LD12734398,['RD'],['Round'],['SI1'],['K'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['63.2'],['Strong'],['1.01'],['Excellent'],['Excellent'],['56.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-3325893514/still_230x230.jpg,https://bluenile.v360.in/3/imaged/gia-3325893514/1/,"[{'label': '4.24 x 4.27 x 2.69 mm', 'labelSmall': '4.24 x 4.27 x 2.69'}]",False,,0.6788701
./diamond-details/LD12743639,['0.23'],['Sep 27'],['Sep 30'],307,"['$1,335']",['LD12743639'],LD12743639,['RD'],['Round'],['SI2'],['E'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['59.6'],['None'],['1.01'],['Very Good'],['Excellent'],['60.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-3335298740/still_230x230.jpg,https://bluenile.v360.in/27/imaged/gia-3335298740/1/,"[{'label': '4.03 x 4.00 x 2.39 mm', 'labelSmall': '4.03 x 4.00 x 2.39'}]",False,,0.8706646
./diamond-details/LD12794147,['0.24'],['Sep 27'],['Sep 30'],307,"['$1,279']",['LD12794147'],LD12794147,['RD'],['Round'],['SI1'],['G'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['62.3'],['None'],['1.01'],['Excellent'],['Excellent'],['56.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1338400157/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-1338400157/1/,"[{'label': '3.97 x 3.99 x 2.48 mm', 'labelSmall': '3.97 x 3.99 x 2.48'}]",False,,0.8191277
./diamond-details/LD12860634,['0.23'],['Sep 27'],['Sep 30'],307,"['$1,335']",['LD12860634'],LD12860634,['RD'],['Round'],['SI1'],['D'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['59.2'],['None'],['1.01'],['Good'],['Very Good'],['61.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7333585352/still_230x230.jpg,https://bluenile.v360.in/27/imaged/gia-7333585352/1/,"[{'label': '4.04 x 4.01 x 2.38 mm', 'labelSmall': '4.04 x 4.01 x 2.38'}]",False,,0.8524318
./diamond-details/LD12479731,['0.30'],['Sep 27'],['Sep 30'],308,"['$1,027']",['LD12479731'],LD12479731,['RD'],['Round'],['VS1'],['K'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['62.0'],['Faint'],['1.01'],['Excellent'],['Excellent'],['60.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6204291342/still_230x230.jpg,https://bluenile.v360.in/41/imaged/gia-6204291342/1/,"[{'label': '4.26 x 4.29 x 2.65 mm', 'labelSmall': '4.26 x 4.29 x 2.65'}]",False,,0.7090413
./diamond-details/LD12913749,['0.23'],['Sep 27'],['Sep 30'],308,"['$1,339']",['LD12913749'],LD12913749,['RD'],['Round'],['SI1'],['H'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['61.4'],['None'],['1.01'],['Excellent'],['Very Good'],['58.0'],[False],,,"[{'label': '3.96 x 3.94 x 2.43 mm', 'labelSmall': '3.96 x 3.94 x 2.43'}]",False,,0.7612259
./diamond-details/LD11975555,['0.23'],['Sep 27'],['Sep 30'],309,"['$1,343']",['LD11975555'],LD11975555,['RD'],['Round'],['SI2'],['D'],['None'],"[{'label': 'Good', 'labelSmall': 'Good'}]",['64.1'],['None'],['1.00'],['Very Good'],['Good'],['59.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7316886577/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-7316886577/1/,"[{'label': '3.83 x 3.84 x 2.46 mm', 'labelSmall': '3.83 x 3.84 x 2.46'}]",False,,0.807266
./diamond-details/LD12734474,['0.30'],['Sep 30'],['Oct 1'],309,"['$1,030']",['LD12734474'],LD12734474,['RD'],['Round'],['SI2'],['K'],['Very Small'],"[{'label': 'Good', 'labelSmall': 'Good'}]",['59.8'],['None'],['1.01'],['Very Good'],['Good'],['61.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-3325962271/still_230x230.jpg,https://bluenile.v360.in/3/imaged/gia-3325962271/1/,"[{'label': '4.26 x 4.30 x 2.56 mm', 'labelSmall': '4.26 x 4.30 x 2.56'}]",False,,0.71359426
